epoch,training_loss,validation_loss,mean_IoU,accuracy,dice
100,0.4993237842703612,0.4400182389654219,0.65683,0.83797,0.7871,0.8777012221667231,0.7040334041027919,0.46404,0.7335,0.59653
2,0.803068877077427,0.7092460753477138,0.48445,0.74047,0.62406
3,0.7757757002804555,0.6500415917000045,0.52791,0.75047,0.67862
4,0.6696783409029448,0.5221386200383954,0.6301,0.81951,0.7666
5,0.6180622570368708,0.5219936544966438,0.5945,0.79992,0.73575
6,0.5999927443914673,0.5595034275041975,0.54622,0.78946,0.68573
7,0.5994651850794448,0.4974448934359395,0.66515,0.85303,0.79222
8,0.5785318793082724,0.5197295914201633,0.57563,0.77122,0.72417
9,0.5701739238030246,0.5105923768942771,0.58638,0.7812,0.73225
10,0.5838619589400129,0.5179169862328664,0.58219,0.77877,0.72819
11,0.5671343823882188,0.47568416376800643,0.62279,0.81284,0.76057
12,0.5666977286338806,0.5748021877168313,0.52401,0.72409,0.68054
13,0.5561553140075839,0.5095039712993995,0.61391,0.83056,0.74886
14,0.5530622059998869,0.5381353785000418,0.60238,0.79346,0.74596
15,0.5488360190675372,0.4941910887541978,0.63861,0.84057,0.77093
16,0.5483393600806087,0.5331136666076339,0.5643,0.77879,0.70893
17,0.532263570699562,0.5031034349585357,0.58403,0.77906,0.73051
18,0.5544553315355665,0.4676491721006839,0.62279,0.81962,0.75909
19,0.5370887829434304,0.4972090762432503,0.5933,0.78821,0.73669
20,0.540221738267918,0.45756807745150896,0.63932,0.83029,0.77252
21,0.5356616254363741,0.4729915028842895,0.63027,0.81755,0.76702
22,0.543201737845836,0.5038444728631041,0.59952,0.8202,0.73599
23,0.5473117299631339,0.47949525908283563,0.60976,0.80014,0.75103
24,0.5332167853911718,0.46817262414033,0.61432,0.81341,0.75218
25,0.5388980715655957,0.5571678859060225,0.54632,0.75852,0.69434
26,0.5302518751953735,0.4539181753669096,0.67208,0.85656,0.79729
27,0.5300536605573836,0.4662280607482661,0.62121,0.81427,0.75855
28,0.5315678073435414,0.47332105348291603,0.61595,0.82272,0.75194
29,0.526223444066891,0.4769782007712385,0.61446,0.82031,0.75089
30,0.5266462278913479,0.46304529330328753,0.65071,0.84543,0.78028
31,0.5210387512331918,0.45323891516612924,0.65195,0.8335,0.78368
32,0.5220962104951443,0.4893099701274996,0.59465,0.79782,0.73597
33,0.5269369637074114,0.5063528285726256,0.59168,0.80933,0.73048
34,0.518560967052064,0.4572175653732341,0.64524,0.82859,0.77853
35,0.508839558298085,0.47055197272287763,0.61618,0.81723,0.75319
36,0.5272036867685058,0.4522217665191578,0.66345,0.84906,0.79098
37,0.5247867716717072,0.45940436916830746,0.6493,0.83187,0.78158
38,0.5226159098805213,0.46267111866694427,0.62761,0.82155,0.76304
39,0.5278712016992828,0.5077057232999284,0.5825,0.79726,0.72417
40,0.5138940775475535,0.4948940324880507,0.59472,0.79689,0.73618
